IMU Report: Laborer

Shoulder Data

Time: 36 seconds Thigh:  x:13.59  y:11.08  z:62.50
Time: 37 seconds Thigh:  x:13.48  y:10.99  z:62.13
Time: 38 seconds Thigh:  x:13.28  y:11.16  z:61.96
Time: 39 seconds Thigh:  x:13.21  y:11.26  z:61.96
Time: 40 seconds Thigh:  x:13.13  y:11.52  z:62.08
Time: 41 seconds Thigh:  x:13.03  y:12.25  z:62.54
Time: 42 seconds Thigh:  x:13.02  y:12.86  z:62.95
Time: 43 seconds Thigh:  x:13.10  y:13.40  z:63.42
Time: 44 seconds Thigh:  x:13.35  y:14.00  z:64.14
Time: 45 seconds Thigh:  x:13.87  y:14.57  z:65.53
Time: 46 seconds Thigh:  x:14.48  y:15.10  z:67.62
Time: 47 seconds Thigh:  x:14.56  y:15.19  z:67.92
Time: 48 seconds Thigh:  x:14.86  y:15.53  z:68.90
Time: 49 seconds Thigh:  x:15.22  y:15.97  z:69.87
Time: 50 seconds Thigh:  x:15.29  y:16.06  z:70.00
Time: 51 seconds Thigh:  x:15.39  y:16.19  z:70.11
Time: 52 seconds Thigh:  x:15.38  y:16.22  z:69.53
Time: 53 seconds Thigh:  x:15.16  y:16.10  z:68.28
Time: 54 seconds Thigh:  x:14.98  y:15.99  z:67.31
Time: 55 seconds Thigh:  x:14.63  y:15.75  z:65.11
Time: 56 seconds Thigh:  x:14.51  y:15.43  z:64.13
Time: 57 seconds Thigh:  x:14.49  y:15.02  z:63.94
Time: 58 seconds Thigh:  x:14.48  y:14.70  z:63.83
Time: 59 seconds Thigh:  x:14.46  y:14.31  z:63.74
Time: 60 seconds Thigh:  x:14.34  y:13.15  z:63.68
Time: 61 seconds Thigh:  x:14.28  y:12.84  z:63.77
Time: 62 seconds Thigh:  x:14.16  y:12.41  z:64.03
Time: 63 seconds Thigh:  x:14.02  y:12.08  z:64.53
Time: 64 seconds Thigh:  x:13.92  y:11.95  z:65.03
Time: 65 seconds Thigh:  x:13.82  y:11.96  z:65.61
Time: 66 seconds Thigh:  x:13.78  y:11.96  z:65.81
Time: 67 seconds Thigh:  x:13.77  y:11.95  z:65.82
Time: 68 seconds Thigh:  x:13.77  y:11.90  z:65.61
Time: 69 seconds Thigh:  x:13.77  y:11.89  z:65.19
Time: 70 seconds Thigh:  x:13.76  y:11.82  z:64.74
Time: 71 seconds Thigh:  x:13.76  y:11.72  z:64.37
Time: 72 seconds Thigh:  x:13.71  y:11.43  z:63.47

Back Data

Time: 1 seconds Back:  x:350.06  y:28.78  z:232.76
Time: 2 seconds Back:  x:351.60  y:29.86  z:234.56
Time: 3 seconds Back:  x:352.96  y:30.60  z:235.73
Time: 4 seconds Back:  x:356.94  y:33.16  z:238.82
Time: 5 seconds Back:  x:358.49  y:34.35  z:239.95
Time: 6 seconds Back:  x:359.73  y:35.38  z:240.89
Time: 7 seconds Back:  x:3.27  y:38.91  z:243.89
Time: 8 seconds Back:  x:6.29  y:43.02  z:247.05
Time: 9 seconds Back:  x:8.04  y:46.30  z:249.27
Time: 10 seconds Back:  x:9.41  y:49.40  z:251.14
Time: 11 seconds Back:  x:10.29  y:51.90  z:252.36
Time: 12 seconds Back:  x:10.44  y:52.53  z:252.51
Time: 13 seconds Back:  x:10.30  y:52.69  z:252.04
Time: 14 seconds Back:  x:10.03  y:52.32  z:251.47
Time: 15 seconds Back:  x:8.62  y:50.06  z:248.94
Time: 16 seconds Back:  x:5.80  y:45.80  z:244.57
Time: 17 seconds Back:  x:2.66  y:41.73  z:240.28
Time: 18 seconds Back:  x:.50  y:39.32  z:237.58
Time: 19 seconds Back:  x:358.90  y:37.63  z:235.30
Time: 20 seconds Back:  x:357.77  y:36.45  z:233.69
Time: 21 seconds Back:  x:356.51  y:35.16  z:231.91
Time: 22 seconds Back:  x:354.43  y:33.10  z:229.36
Time: 23 seconds Back:  x:353.29  y:31.99  z:228.06
Time: 24 seconds Back:  x:351.83  y:30.56  z:226.44
Time: 25 seconds Back:  x:350.89  y:29.53  z:225.44
Time: 26 seconds Back:  x:350.88  y:29.52  z:225.44
Time: 27 seconds Back:  x:350.63  y:29.14  z:225.24
Time: 28 seconds Back:  x:350.45  y:28.77  z:225.24
Time: 29 seconds Back:  x:350.40  y:28.53  z:225.43
Time: 30 seconds Back:  x:350.29  y:28.15  z:225.99
Time: 31 seconds Back:  x:349.99  y:27.59  z:227.15
Time: 32 seconds Back:  x:349.74  y:27.37  z:227.78
Time: 33 seconds Back:  x:349.60  y:27.29  z:228.08
Time: 34 seconds Back:  x:349.53  y:27.27  z:228.19
Time: 35 seconds Back:  x:349.10  y:27.19  z:228.95
Time: 36 seconds Back:  x:348.90  y:27.25  z:229.73
Time: 37 seconds Back:  x:348.99  y:27.55  z:230.74
Time: 38 seconds Back:  x:349.99  y:28.71  z:232.65
Time: 39 seconds Back:  x:350.40  y:29.11  z:233.27
Time: 40 seconds Back:  x:351.07  y:29.57  z:234.05
Time: 41 seconds Back:  x:352.71  y:30.46  z:235.52
Time: 42 seconds Back:  x:354.32  y:31.39  z:236.85
Time: 43 seconds Back:  x:356.24  y:32.66  z:238.31
Time: 44 seconds Back:  x:359.42  y:35.12  z:240.65
Time: 45 seconds Back:  x:3.71  y:39.42  z:244.30
Time: 46 seconds Back:  x:7.38  y:44.99  z:248.40
Time: 47 seconds Back:  x:7.78  y:45.76  z:248.91
Time: 48 seconds Back:  x:9.01  y:48.42  z:250.58
Time: 49 seconds Back:  x:10.11  y:51.32  z:252.12
Time: 50 seconds Back:  x:10.27  y:51.85  z:252.34
Time: 51 seconds Back:  x:10.45  y:52.57  z:252.51
Time: 52 seconds Back:  x:10.07  y:52.38  z:251.55
Time: 53 seconds Back:  x:8.81  y:50.37  z:249.27
Time: 54 seconds Back:  x:7.62  y:48.49  z:247.32
Time: 55 seconds Back:  x:4.06  y:43.47  z:242.13
Time: 56 seconds Back:  x:1.24  y:40.14  z:238.56
Time: 57 seconds Back:  x:.09  y:38.88  z:237.02
Time: 58 seconds Back:  x:359.40  y:38.15  z:236.03
Time: 59 seconds Back:  x:358.58  y:37.29  z:234.84
Time: 60 seconds Back:  x:356.27  y:34.92  z:231.60
Time: 61 seconds Back:  x:355.51  y:34.16  z:230.64
Time: 62 seconds Back:  x:354.23  y:32.89  z:229.12
Time: 63 seconds Back:  x:352.79  y:31.50  z:227.49
Time: 64 seconds Back:  x:351.76  y:30.49  z:226.37
Time: 65 seconds Back:  x:350.85  y:29.49  z:225.42
Time: 66 seconds Back:  x:350.56  y:29.00  z:225.22
Time: 67 seconds Back:  x:350.44  y:28.72  z:225.27
Time: 68 seconds Back:  x:350.36  y:28.34  z:225.70
Time: 69 seconds Back:  x:350.20  y:27.90  z:226.45
Time: 70 seconds Back:  x:350.02  y:27.62  z:227.06
Time: 71 seconds Back:  x:349.87  y:27.47  z:227.47
Time: 72 seconds Back:  x:349.40  y:27.23  z:228.39

Neck Data

Time: 1 seconds Neck:  x:4.19  y:17.82  z:190.25
Time: 2 seconds Neck:  x:7.56  y:18.58  z:191.50
Time: 3 seconds Neck:  x:10.19  y:20.30  z:192.01
Time: 4 seconds Neck:  x:15.89  y:27.37  z:193.47
Time: 5 seconds Neck:  x:17.64  y:30.43  z:194.25
Time: 6 seconds Neck:  x:18.95  y:32.98  z:195.08
Time: 7 seconds Neck:  x:22.35  y:.96  z:198.58
Time: 8 seconds Neck:  x:24.75  y:9.21  z:203.74
Time: 9 seconds Neck:  x:25.81  y:14.68  z:208.25
Time: 10 seconds Neck:  x:26.47  y:19.14  z:212.51
Time: 11 seconds Neck:  x:26.90  y:21.68  z:215.79
Time: 12 seconds Neck:  x:27.03  y:21.76  z:216.54
Time: 13 seconds Neck:  x:27.16  y:19.92  z:216.50
Time: 14 seconds Neck:  x:27.11  y:18.17  z:215.79
Time: 15 seconds Neck:  x:26.38  y:11.07  z:211.88
Time: 16 seconds Neck:  x:23.59  y:39.92  z:205.14
Time: 17 seconds Neck:  x:19.33  y:30.21  z:199.62
Time: 18 seconds Neck:  x:16.02  y:25.67  z:197.26
Time: 19 seconds Neck:  x:13.21  y:23.19  z:195.81
Time: 20 seconds Neck:  x:11.29  y:22.15  z:194.88
Time: 21 seconds Neck:  x:9.25  y:21.57  z:193.87
Time: 22 seconds Neck:  x:6.38  y:21.53  z:192.38
Time: 23 seconds Neck:  x:4.94  y:21.80  z:191.52
Time: 24 seconds Neck:  x:3.21  y:22.46  z:190.17
Time: 25 seconds Neck:  x:2.19  y:23.12  z:188.71
Time: 26 seconds Neck:  x:2.19  y:23.12  z:188.70
Time: 27 seconds Neck:  x:1.93  y:23.34  z:188.02
Time: 28 seconds Neck:  x:1.73  y:23.42  z:187.29
Time: 29 seconds Neck:  x:1.62  y:23.28  z:186.75
Time: 30 seconds Neck:  x:1.45  y:22.79  z:186.10
Time: 31 seconds Neck:  x:1.21  y:21.76  z:185.72
Time: 32 seconds Neck:  x:1.12  y:21.16  z:185.83
Time: 33 seconds Neck:  x:1.11  y:20.86  z:185.96
Time: 34 seconds Neck:  x:1.11  y:20.73  z:186.02
Time: 35 seconds Neck:  x:1.18  y:19.89  z:186.63
Time: 36 seconds Neck:  x:1.37  y:19.20  z:187.35
Time: 37 seconds Neck:  x:1.96  y:18.52  z:188.33
Time: 38 seconds Neck:  x:4.05  y:17.84  z:190.15
Time: 39 seconds Neck:  x:4.90  y:17.78  z:190.69
Time: 40 seconds Neck:  x:6.36  y:18.13  z:191.21
Time: 41 seconds Neck:  x:9.76  y:19.94  z:191.93
Time: 42 seconds Neck:  x:12.41  y:22.57  z:192.44
Time: 43 seconds Neck:  x:15.06  y:26.06  z:193.17
Time: 44 seconds Neck:  x:18.63  y:32.34  z:194.85
Time: 45 seconds Neck:  x:22.73  y:2.06  z:199.16
Time: 46 seconds Neck:  x:25.44  y:12.56  z:206.44
Time: 47 seconds Neck:  x:25.67  y:13.82  z:207.50
Time: 48 seconds Neck:  x:26.29  y:17.83  z:211.17
Time: 49 seconds Neck:  x:26.79  y:21.27  z:215.05
Time: 50 seconds Neck:  x:26.89  y:21.65  z:215.72
Time: 51 seconds Neck:  x:27.04  y:21.74  z:216.59
Time: 52 seconds Neck:  x:27.12  y:18.40  z:215.90
Time: 53 seconds Neck:  x:26.51  y:11.94  z:212.40
Time: 54 seconds Neck:  x:25.54  y:6.77  z:209.30
Time: 55 seconds Neck:  x:21.34  y:34.26  z:201.84
Time: 56 seconds Neck:  x:17.23  y:27.07  z:198.01
Time: 57 seconds Neck:  x:15.33  y:24.97  z:196.88
Time: 58 seconds Neck:  x:14.10  y:23.87  z:196.24
Time: 59 seconds Neck:  x:12.66  y:22.83  z:195.54
Time: 60 seconds Neck:  x:8.90  y:21.51  z:193.69
Time: 61 seconds Neck:  x:7.80  y:21.42  z:193.15
Time: 62 seconds Neck:  x:6.11  y:21.57  z:192.23
Time: 63 seconds Neck:  x:4.33  y:22.00  z:191.12
Time: 64 seconds Neck:  x:3.14  y:22.50  z:190.09
Time: 65 seconds Neck:  x:2.16  y:23.14  z:188.64
Time: 66 seconds Neck:  x:1.86  y:23.40  z:187.76
Time: 67 seconds Neck:  x:1.70  y:23.40  z:187.18
Time: 68 seconds Neck:  x:1.53  y:23.04  z:186.35
Time: 69 seconds Neck:  x:1.34  y:22.39  z:185.86
Time: 70 seconds Neck:  x:1.22  y:21.84  z:185.72
Time: 71 seconds Neck:  x:1.16  y:21.46  z:185.75
Time: 72 seconds Neck:  x:1.11  y:20.50  z:186.16
